Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
2024-09-26,379,379,379,379,3,+0.80%,0,60
2024-09-27,381,381,381,381,2,+0.53%,0,120
2024-09-30,393,393,393,393,12,+3.15%,0,120
2024-10-01,393,393,393,393,0,0.00%,0,120
2024-10-02,394,394,394,394,1,+0.25%,0,120
2024-10-03,395,395,395,395,1,+0.25%,0,50
2024-10-04,395,395,395,395,0,0.00%,0,120
2024-10-07,410,410,410,410,15,+3.80%,0,120
2024-10-08,403,403,403,403,-7.,-1.71%,0,120
2024-10-09,401,401,401,401,-2.,-0.50%,0,120
2024-10-10,396,396,396,396,-5.,-1.25%,0,50
2024-10-11,389,389,389,389,-7.,-1.77%,0,120
2024-10-14,382,382,382,382,-7.,-1.80%,6,117
2024-10-15,379,379,379,379,-3.,-0.79%,0,117
2024-10-16,375,375,375,375,-4.,-1.06%,0,117
2024-10-17,372,372,372,372,-3.,-0.80%,0,60
2024-10-18,372,372,372,372,0,0.00%,0,117
2024-10-21,372,372,372,372,0,0.00%,0,117
2024-10-22,372,372,372,372,0,0.00%,0,117
2024-10-23,372,372,372,372,0,0.00%,0,117
2024-10-24,372,372,372,372,0,0.00%,0,50
2024-10-25,372,372,372,372,0,0.00%,0,117
2024-10-28,372,372,372,372,0,0.00%,0,117
2024-10-29,382,382,382,382,10,+2.69%,0,117
2024-10-30,389,389,389,389,7,+1.83%,0,117
2024-10-31,389,389,389,389,0,0.00%,0,40
2024-11-01,389,389,389,389,0,0.00%,0,107
2024-11-04,389,389,389,389,0,0.00%,0,107
2024-11-05,389,389,389,389,0,0.00%,0,107
2024-11-06,389,389,389,389,0,0.00%,0,107
2024-11-07,389,389,389,389,0,0.00%,0,40
2024-11-08,385,385,385,385,-4.,-1.03%,0,107
2024-11-11,385,385,385,385,0,0.00%,0,107
2024-11-12,380,380,380,380,-5.,-1.30%,0,107
2024-11-13,374,374,374,374,-6.,-1.58%,0,107
2024-11-14,375,375,375,375,1,+0.27%,0,40
2024-11-15,375,375,375,375,0,0.00%,0,107
2024-11-18,377,377,377,377,2,+0.53%,3,107
2024-11-19,375,375,375,375,-2.,-0.53%,0,107
2024-11-20,365,365,365,365,-10.,-2.67%,0,107
2024-11-21,363,363,363,363,-2.,-0.55%,0,40
2024-11-22,363,363,363,363,0,0.00%,3,107
2024-11-25,363,363,363,363,0,0.00%,0,107
2024-11-26,362,362,362,362,-1.,-0.28%,0,107
2024-11-27,360,360,360,360,-2.,-0.55%,0,40
2024-11-29,360,360,360,360,0,0.00%,0,97
2024-12-02,358,358,358,358,-2.,-0.56%,0,97
2024-12-03,364,364,364,364,6,+1.68%,0,97
2024-12-04,364,364,364,364,0,0.00%,0,97
2024-12-05,362,362,362,362,-2.,-0.55%,0,30
2024-12-06,361,361,361,361,-1.,-0.28%,0,97
2024-12-09,365,365,365,365,4,+1.11%,3,97
2024-12-10,365,365,365,365,0,0.00%,0,97
2024-12-11,378,378,378,378,13,+3.56%,3,97
2024-12-12,381,381,381,381,3,+0.79%,0,30
2024-12-13,377,377,377,377,-4.,-1.05%,0,97
2024-12-16,377,377,377,377,0,0.00%,0,97
2024-12-17,377,377,377,377,0,0.00%,0,97
2024-12-18,374,374,374,374,-3.,-0.80%,0,97
2024-12-19,370,370,370,370,-4.,-1.07%,0,30
2024-12-20,368,368,368,368,-2.,-0.54%,0,97
2024-12-23,368,368,368,368,0,0.00%,0,97
2024-12-24,367,367,367,367,-1.,-0.27%,0,97
2024-12-26,367,367,367,367,0,0.00%,0,30
2024-12-27,359,359,359,359,-8.,-2.18%,0,97
2024-12-30,359,359,359,359,0,0.00%,0,30
2024-12-31,359,359,359,359,0,0.00%,0,97
2025-01-02,359,359,359,359,0,0.00%,0,20
2025-01-03,359,359,359,359,0,0.00%,0,87
2025-01-06,358,358,358,358,-1.,-0.28%,0,87
2025-01-07,358,358,358,358,0,0.00%,0,87
2025-01-08,355,355,355,355,-3.,-0.84%,0,87
2025-01-09,355,355,355,355,0,0.00%,0,0
2025-01-10,355,355,355,355,0,0.00%,0,87
2025-01-13,355,355,355,355,0,0.00%,0,87
2025-01-14,355,355,355,355,0,0.00%,0,87
2025-01-15,355,355,355,355,0,0.00%,0,87
2025-01-16,355,355,355,355,0,0.00%,0,20
2025-01-17,355,355,355,355,0,0.00%,0,87
2025-01-21,355,355,355,355,0,0.00%,0,87
2025-01-22,355,355,355,355,0,0.00%,0,87
2025-01-23,355,355,355,355,0,0.00%,0,30
2025-01-24,362,362,362,362,7,+1.97%,0,87
2025-01-27,368,368,368,368,6,+1.66%,0,87
2025-01-28,376,376,376,376,8,+2.17%,0,87
2025-01-29,378,378,378,378,2,+0.53%,0,87
2025-01-30,381,381,381,381,3,+0.79%,0,10
2025-01-31,381,381,381,381,0,0.00%,0,77
2025-02-03,375,375,375,375,-6.,-1.57%,0,77
2025-02-04,373,373,373,373,-2.,-0.53%,0,77
2025-02-05,369,369,369,369,-4.,-1.07%,0,77
2025-02-06,369,369,369,369,0,0.00%,0,10
2025-02-07,369,369,369,369,0,0.00%,0,77
2025-02-10,369,369,369,369,0,0.00%,0,77
2025-02-11,369,369,369,369,0,0.00%,0,77
2025-02-12,370,370,370,370,1,+0.27%,0,77
2025-02-13,370,370,370,370,0,0.00%,0,10
2025-02-14,370,370,370,370,0,0.00%,0,77
2025-02-18,370,370,370,370,0,0.00%,0,77
2025-02-19,370,370,370,370,0,0.00%,0,77
2025-02-20,370,370,370,370,0,0.00%,0,10
2025-02-21,370,370,370,370,0,0.00%,0,77
2025-02-24,370,370,370,370,0,0.00%,0,77
2025-02-25,373,373,373,373,3,+0.81%,0,77
2025-02-26,373,373,373,373,0,0.00%,0,77
2025-02-27,373,373,373,373,0,0.00%,0,10
2025-02-28,373,373,373,373,0,0.00%,0,70
2025-03-03,373,373,373,373,0,0.00%,0,70
2025-03-04,373,373,373,373,0,0.00%,0,70
2025-03-05,373,373,373,373,0,0.00%,0,70
