Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
2023-01-12,409,409,409,409,0,0.00%,0,0
2023-01-13,409,411,409,411,2,+0.49%,0,12
2023-01-17,410,410,410,410,-1.,-0.24%,0,12
2023-01-18,411,411,411,411,1,+0.24%,0,12
2023-01-19,411,411,411,411,0,0.00%,0,12
2023-01-20,410,410,410,410,-1.,-0.24%,0,12
2023-01-23,410,410,410,410,0,0.00%,0,12
2023-01-24,410,410,410,410,0,0.00%,0,12
2023-01-25,410,410,410,410,0,0.00%,0,12
2023-01-26,410,410,410,410,0,0.00%,0,0
2023-01-27,410,410,410,410,0,0.00%,0,12
2023-01-30,420,420,420,420,10,+2.44%,0,12
2023-01-31,420,420,420,420,0,0.00%,0,12
2023-02-01,420,420,420,420,0,0.00%,0,11
2023-02-02,420,420,420,420,0,0.00%,0,0
2023-02-03,430,430,430,430,10,+2.38%,0,11
2023-02-06,430,430,430,430,0,0.00%,0,11
2023-02-07,430,430,430,430,0,0.00%,0,11
2023-02-08,430,430,430,430,0,0.00%,0,11
2023-02-09,430,430,430,430,0,0.00%,0,0
2023-02-10,440,440,440,440,10,+2.33%,6,13
2023-02-13,440,440,440,440,0,0.00%,0,13
2023-02-14,440,440,440,440,0,0.00%,0,13
2023-02-15,440,440,440,440,0,0.00%,0,13
2023-02-16,440,440,440,440,0,0.00%,0,0
2023-02-17,440,440,440,440,0,0.00%,0,13
2023-02-21,465,465,465,465,25,+5.68%,8,15
2023-02-22,470,470,470,470,5,+1.08%,0,17
2023-02-23,485,485,485,485,15,+3.19%,0,0
2023-02-24,475,475,475,475,-10.,-2.06%,0,18
2023-02-27,475,475,475,475,0,0.00%,0,18
2023-02-28,470,470,470,470,-5.,-1.05%,0,18
2023-03-01,470,470,465,470,0,0.00%,0,17
2023-03-02,460,460,460,460,-10.,-2.13%,0,0
2023-03-03,460,460,460,460,0,0.00%,0,17
2023-03-06,460,460,460,460,0,0.00%,0,17
2023-03-07,460,460,460,460,0,0.00%,0,17
2023-03-08,460,460,460,460,0,0.00%,0,17
2023-03-09,460,460,460,460,0,0.00%,0,0
2023-03-10,452,452,452,452,-8.,-1.74%,0,17
2023-03-13,452,452,452,452,0,0.00%,0,17
2023-03-14,452,452,452,452,0,0.00%,0,17
2023-03-15,452,452,452,452,0,0.00%,0,17
2023-03-16,439,439,439,439,-13.,-2.88%,0,0
2023-03-17,439,439,439,439,0,0.00%,0,17
2023-03-20,439,439,439,439,0,0.00%,0,17
2023-03-21,439,439,439,439,0,0.00%,0,17
2023-03-22,434,434,434,434,-5.,-1.14%,0,17
2023-03-23,434,434,434,434,0,0.00%,0,0
2023-03-24,435,435,435,435,1,+0.23%,0,17
2023-03-27,435,435,435,435,0,0.00%,0,17
2023-03-28,435,435,435,435,0,0.00%,0,17
2023-03-29,435,435,435,435,0,0.00%,0,17
2023-03-30,435,435,435,435,0,0.00%,0,0
2023-03-31,435,435,435,435,0,0.00%,0,16
2023-04-03,435,435,435,435,0,0.00%,0,16
2023-04-04,435,435,435,435,0,0.00%,0,16
2023-04-05,425,435,425,435,0,0.00%,6,22
2023-04-06,431,431,431,431,-4.,-0.92%,0,2
2023-04-10,431,431,431,431,0,0.00%,0,22
2023-04-11,435,435,435,435,4,+0.93%,0,22
2023-04-12,430,430,415,430,-5.,-1.15%,0,22
2023-04-13,430,430,430,430,0,0.00%,0,0
2023-04-14,430,430,430,430,0,0.00%,0,22
2023-04-17,430,430,430,430,0,0.00%,0,22
2023-04-18,410,410,410,410,-20.,-4.65%,18,24
2023-04-19,400,400,400,400,-10.,-2.44%,0,25
2023-04-20,389,389,389,389,-11.,-2.75%,0,0
2023-04-21,385,385,385,385,-4.,-1.03%,0,0
2023-04-24,385,385,385,385,0,0.00%,0,25
2023-04-25,385,385,385,385,0,0.00%,0,25
2023-04-26,385,385,385,385,0,0.00%,0,25
2023-04-27,385,385,385,385,0,0.00%,0,0
2023-04-28,385,385,385,385,0,0.00%,0,22
2023-05-01,385,385,385,385,0,0.00%,0,22
2023-05-02,395,395,395,395,10,+2.60%,15,34
2023-05-03,395,395,395,395,0,0.00%,0,34
2023-05-04,380,380,380,380,-15.,-3.80%,0,0
2023-05-05,375,375,375,375,-5.,-1.32%,0,34
2023-05-08,375,375,375,375,0,0.00%,0,34
2023-05-09,375,375,373,375,0,0.00%,0,34
2023-05-10,375,375,375,375,0,0.00%,0,34
2023-05-11,375,375,375,375,0,0.00%,0,0
2023-05-12,365,365,365,365,-10.,-2.67%,15,41
2023-05-15,380,380,380,380,15,+4.11%,6,44
2023-05-16,380,380,380,380,0,0.00%,0,44
2023-05-17,383,383,383,383,3,+0.79%,0,44
2023-05-18,383,383,383,383,0,0.00%,0,0
2023-05-19,383,383,382,383,0,0.00%,0,44
2023-05-22,383,383,383,383,0,0.00%,0,44
2023-05-23,383,383,383,383,0,0.00%,0,44
2023-05-24,370,370,365,370,-13.,-3.39%,9,53
2023-05-25,370,370,365,370,0,0.00%,0,0
2023-05-26,360,360,360,360,-10.,-2.70%,16,62
2023-05-30,360,365,360,360,0,0.00%,0,62
2023-05-31,365,365,365,365,5,+1.39%,0,62
2023-06-01,370,370,370,370,5,+1.37%,0,0
2023-06-02,370,370,370,370,0,0.00%,0,58
2023-06-05,370,370,370,370,0,0.00%,9,55
2023-06-06,370,370,370,370,0,0.00%,0,55
2023-06-07,370,370,370,370,0,0.00%,0,55
2023-06-08,375,375,375,375,5,+1.35%,0,0
2023-06-09,375,375,375,375,0,0.00%,0,55
2023-06-12,370,370,370,370,-5.,-1.33%,3,55
2023-06-13,370,370,370,370,0,0.00%,0,55
2023-06-14,375,375,375,375,5,+1.35%,0,55
2023-06-15,377,377,377,377,2,+0.53%,0,0
2023-06-16,377,377,377,377,0,0.00%,0,55
2023-06-20,375,375,372,372,-5.,-1.33%,5,55
2023-06-21,370,370,370,370,-2.,-0.54%,0,55
2023-06-22,370,370,370,370,0,0.00%,0,55
2023-06-23,370,370,370,370,0,0.00%,0,5
2023-06-26,370,370,370,370,0,0.00%,0,55
2023-06-27,370,370,370,370,0,0.00%,0,55
2023-06-28,370,370,370,370,0,0.00%,0,55
2023-06-29,370,370,370,370,0,0.00%,0,4
2023-06-30,370,370,370,370,0,0.00%,0,43
2023-07-03,368,368,368,368,-2.,-0.54%,0,43
2023-07-05,368,368,368,368,0,0.00%,0,43
2023-07-06,368,368,368,368,0,0.00%,0,43
2023-07-07,368,368,368,368,0,0.00%,0,4
2023-07-10,367,367,367,367,-1.,-0.27%,0,43
2023-07-11,367,367,367,367,0,0.00%,0,43
2023-07-12,367,367,367,367,0,0.00%,0,43
2023-07-13,367,367,367,367,0,0.00%,0,4
2023-07-14,362,362,362,362,-5.,-1.36%,0,43
2023-07-17,362,362,362,362,0,0.00%,0,43
2023-07-18,362,362,362,362,0,0.00%,0,43
2023-07-19,357,357,357,357,-5.,-1.38%,0,43
2023-07-20,357,357,357,357,0,0.00%,0,4
2023-07-21,357,357,357,357,0,0.00%,9,49
2023-07-24,360,360,360,360,3,+0.84%,0,49
2023-07-25,360,360,360,360,0,0.00%,0,49
2023-07-26,358,358,358,358,-2.,-0.56%,0,49
2023-07-27,360,360,360,360,2,+0.56%,0,4
2023-07-28,362,362,362,362,2,+0.56%,0,49
2023-07-31,362,362,362,362,0,0.00%,0,49
2023-08-01,362,362,362,362,0,0.00%,0,43
2023-08-02,362,362,362,362,0,0.00%,0,6
2023-08-03,362,362,362,362,0,0.00%,0,3
2023-08-04,362,362,362,362,0,0.00%,0,43
2023-08-07,362,362,362,362,0,0.00%,0,43
2023-08-08,362,362,362,362,0,0.00%,12,55
2023-08-09,365,365,365,365,3,+0.83%,0,55
2023-08-10,365,365,365,365,0,0.00%,0,3
2023-08-11,365,365,365,365,0,0.00%,0,55
2023-08-14,373,373,373,373,8,+2.19%,0,55
2023-08-15,373,373,373,373,0,0.00%,0,55
2023-08-16,375,375,375,375,2,+0.54%,0,55
2023-08-17,375,375,375,375,0,0.00%,0,3
2023-08-18,375,375,375,375,0,0.00%,0,55
2023-08-21,375,375,375,375,0,0.00%,0,55
2023-08-22,375,375,375,375,0,0.00%,0,55
2023-08-23,375,375,375,375,0,0.00%,0,55
2023-08-24,375,375,375,375,0,0.00%,0,3
2023-08-25,375,375,375,375,0,0.00%,0,55
2023-08-28,375,375,375,375,0,0.00%,0,55
2023-08-29,375,375,375,375,0,0.00%,0,55
2023-08-30,375,375,375,375,0,0.00%,0,55
2023-08-31,375,375,375,375,0,0.00%,0,44
2023-09-01,375,375,375,375,0,0.00%,0,47
2023-09-05,375,375,375,375,0,0.00%,0,47
2023-09-06,375,375,375,375,0,0.00%,0,47
2023-09-07,375,375,375,375,0,0.00%,0,41
2023-09-08,375,375,375,375,0,0.00%,9,44
2023-09-11,375,375,375,375,0,0.00%,0,44
2023-09-12,375,375,375,375,0,0.00%,2,42
2023-09-13,375,375,375,375,0,0.00%,0,42
2023-09-14,375,375,375,375,0,0.00%,0,42
2023-09-15,375,375,375,375,0,0.00%,0,42
2023-09-18,375,375,375,375,0,0.00%,0,42
2023-09-19,375,375,375,375,0,0.00%,0,42
2023-09-20,375,375,375,375,0,0.00%,0,42
2023-09-21,375,375,375,375,0,0.00%,0,42
2023-09-22,375,375,375,375,0,0.00%,0,42
2023-09-25,375,375,375,375,0,0.00%,3,43
2023-09-26,375,375,375,375,0,0.00%,0,43
2023-09-27,375,375,375,375,0,0.00%,0,43
2023-09-28,375,375,375,375,0,0.00%,0,35
2023-09-29,375,375,375,375,0,0.00%,0,35
"Downloaded from Barchart.com as of 08-12-2026 05:40am CDT"
