Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
2025-06-06,343,354,343,354,-8.,-2.21%,9,49
2025-06-09,354,354,354,354,0,0.00%,0,49
2025-06-10,354,354,354,354,0,0.00%,0,49
2025-06-11,354,354,354,354,0,0.00%,0,49
2025-06-12,354,354,354,354,0,0.00%,0,49
2025-06-13,354,354,354,354,0,0.00%,0,49
2025-06-16,352,352,352,352,-2.,-0.56%,0,49
2025-06-17,352,352,352,352,0,0.00%,0,49
2025-06-18,352,352,352,352,0,0.00%,0,49
2025-06-20,354,354,354,354,2,+0.57%,3,49
2025-06-23,353,353,353,353,-1.,-0.28%,0,49
2025-06-24,353,353,353,353,0,0.00%,0,49
2025-06-25,353,353,353,353,0,0.00%,0,49
2025-06-26,353,353,353,353,0,0.00%,0,49
2025-06-27,353,353,353,353,0,0.00%,0,49
2025-06-30,359,359,359,359,6,+1.70%,0,49
2025-07-01,359,359,359,359,0,0.00%,0,49
2025-07-02,359,359,359,359,0,0.00%,0,39
2025-07-03,359,359,359,359,0,0.00%,0,39
2025-07-07,356,356,356,356,-3.,-0.84%,6,39
2025-07-08,356,356,356,356,0,0.00%,0,39
2025-07-09,356,356,356,356,0,0.00%,0,39
2025-07-10,356,356,356,356,0,0.00%,0,39
2025-07-11,356,356,356,356,0,0.00%,0,39
2025-07-14,356,356,356,356,0,0.00%,0,39
2025-07-15,356,356,356,356,0,0.00%,0,39
2025-07-16,355,355,355,355,-1.,-0.28%,0,39
2025-07-17,355,355,355,355,0,0.00%,0,39
2025-07-18,355,355,355,355,0,0.00%,0,39
2025-07-21,359,359,359,359,4,+1.13%,0,39
2025-07-22,364,364,364,364,5,+1.39%,0,39
2025-07-23,364,364,364,364,0,0.00%,0,39
2025-07-24,364,364,364,364,0,0.00%,0,39
2025-07-25,364,364,364,364,0,0.00%,0,39
2025-07-28,364,364,364,364,0,0.00%,0,39
2025-07-29,364,364,364,364,0,0.00%,0,39
2025-07-30,364,364,364,364,0,0.00%,0,39
2025-07-31,361,361,361,361,-3.,-0.82%,0,39
2025-08-01,361,361,361,361,0,0.00%,0,29
2025-08-04,360,360,360,360,-1.,-0.28%,0,29
2025-08-05,360,360,360,360,0,0.00%,0,29
2025-08-06,360,360,360,360,0,0.00%,0,29
2025-08-07,360,360,360,360,0,0.00%,0,29
2025-08-08,353,353,353,353,-7.,-1.94%,6,29
2025-08-11,353,353,353,353,0,0.00%,19,43
2025-08-12,353,353,353,353,0,0.00%,0,43
2025-08-13,356,356,356,356,3,+0.85%,6,49
2025-08-14,354,354,354,354,-2.,-0.56%,0,49
2025-08-15,354,354,354,354,0,0.00%,0,49
2025-08-18,354,354,354,354,0,0.00%,0,49
2025-08-19,353,353,353,353,-1.,-0.28%,0,49
2025-08-20,353,353,353,353,0,0.00%,3,49
2025-08-21,353,353,353,353,0,0.00%,1,50
2025-08-22,353,353,353,353,0,0.00%,0,50
2025-08-25,353,353,353,353,0,0.00%,0,50
2025-08-26,353,353,353,353,0,0.00%,0,50
2025-08-27,353,353,353,353,0,0.00%,0,50
2025-08-28,350,350,350,350,-3.,-0.85%,3,47
2025-08-29,350,350,350,350,0,0.00%,0,37
2025-09-02,350,350,350,350,0,0.00%,0,37
2025-09-03,350,350,350,350,0,0.00%,0,37
2025-09-04,350,350,350,350,0,0.00%,0,37
2025-09-05,350,350,350,350,0,0.00%,0,37
2025-09-08,350,350,350,350,0,0.00%,0,37
2025-09-09,350,350,350,350,0,0.00%,0,37
2025-09-10,350,350,350,350,0,0.00%,0,37
2025-09-11,346,346,346,346,-4.,-1.14%,13,45
2025-09-12,346,346,346,346,0,0.00%,0,45
2025-09-15,346,346,346,346,0,0.00%,0,45
